『銀河鉄道の夜』宮沢賢治,En_text,Happy,Angry,Surprise,Sad,Fear
「ではみなさんは、そういうふうに川だと云われたり、乳の流れたあとだと云われたりしていたこのぼんやりと白いものがほんとうは何かご承知ですか。」,"Then, do you all know what this vague white thing, which was said to be a river or the remains of flowing milk, really is?",0.0,0.0,0.0,0.0,1.0
"先生は、黒板に吊した大きな黒い星座の図の、上から下へ白くけぶった銀河帯のようなところを指しながら、みんなに問をかけました。
カムパネルラが手をあげました。
それから四五人手をあげました。","The teacher pointed to a large black chart of the constellations hanging on the blackboard, which looked like a white smeared galactic belt from top to bottom, and asked everyone to answer the question.
Camperla raised his hand.
Then forty-five others raised their hands.",0.0,0.0,0.4,0.0,0.6
"ジョバンニも手をあげようとして、急いでそのままやめました。
たしかにあれがみんな星だと、いつか雑誌で読んだのでしたが、このごろはジョバンニはまるで毎日教室でもねむく、本を読むひまも読む本もないので、なんだかどんなこともよくわからないという気持ちがするのでした。
ところが先生は早くもそれを見附けたのでした。","Giovanni was about to raise his hand, but stopped in a hurry.
He had read in a magazine that they were all stars, but these days Giovanni was so sleepy in the classroom that he had neither time nor books to read, and he felt as if he did not understand anything.
However, the teacher had already discovered this.",0.25,0.0,0.25,0.5,0.0
「ジョバンニさん。あなたはわかっているのでしょう。」,"Giovanni. You know what you're doing.""",0,0,0,0,0
"ジョバンニは勢よく立ちあがりましたが、立って見るともうはっきりとそれを答えることができないのでした。
ザネリが前の席からふりかえって、ジョバンニを見てくすっとわらいました。
ジョバンニはもうどぎまぎしてまっ赤になってしまいました。","Giovanni stood up briskly, but when he stood up he could no longer answer clearly.
Zanelli turned from his seat in front of him, looked at Giovanni, and chuckled.
Giovanni was so upset that he turned red.",0.0,0.17,0.33,0.0,0.5
先生がまた云いました。,The doctor said again.,0,0,0,0,0
「大きな望遠鏡で銀河をよっく調べると銀河は大体何でしょう。」,"""If you look at a galaxy through a large telescope, what is it?""",0,0,0,0,0
"やっぱり星だとジョバンニは思いましたがこんどもすぐに答えることができませんでした。
先生はしばらく困ったようすでしたが、眼をカムパネルラの方へ向けて、","Giovanni thought it was a star, but again he could not answer immediately.
The teacher looked puzzled for a while, then turned his eyes toward the cam panela.",0.0,0.0,1.0,0.0,0.0
「ではカムパネルラさん。」と名指しました。,"Then, Mr. Camperla,"" he said. I pointed to his name.",0.0,0.0,1.0,0.0,0.0
するとあんなに元気に手をあげたカムパネルラが、やはりもじもじ立ち上ったままやはり答えができませんでした。,"Then, Kam panela, who had raised his hand so cheerfully, still stood up fidgetily and was still unable to answer.",0.33,0.0,0.0,0.33,0.33
先生は意外なようにしばらくじっとカムパネルラを見ていましたが、急いで「では。よし。」と云いながら、自分で星図を指しました。,"The teacher stared at Camperla for a while as if in surprise, then hastily said, ""Well, then. Okay."" He pointed to the star map himself.",0.0,0.0,1.0,0.0,0.0
「このぼんやりと白い銀河を大きないい望遠鏡で見ますと、もうたくさんの小さな星に見えるのです。ジョバンニさんそうでしょう。」,"If you look at this fuzzy white galaxy through a big, nice telescope, it already looks like a lot of little stars. Isn't that right, Giovanni?""",0.33,0.0,0.0,0.33,0.33
"ジョバンニはまっ赤になってうなずきました。
けれどもいつかジョバンニの眼のなかには涙がいっぱいになりました。
そうだ僕は知っていたのだ、勿論カムパネルラも知っている、それはいつかカムパネルラのお父さんの博士のうちでカムパネルラといっしょに読んだ雑誌のなかにあったのだ。","Giovanni turned red and nodded.
But then his eyes filled with tears.
Yes, I knew, and of course Camperla knew, too, because I had read about it in a magazine that I had read with Camperla at his father's doctor's house.",0.0,0.25,0.25,0.25,0.25
"それどこでなくカムパネルラは、その雑誌を読むと、すぐお父さんの書斎から巨きな本をもってきて、ぎんがというところをひろげ、まっ黒な頁いっぱいに白い点々のある美しい写真を二人でいつまでも見たのでした。
それをカムパネルラが忘れる筈もなかったのに、すぐに返事をしなかったのは、このごろぼくが、朝にも午后にも仕事がつらく、学校に出てももうみんなともはきはき遊ばず、カムパネルラともあんまり物を云わないようになったので、カムパネルラがそれを知って気の毒がってわざと返事をしなかったのだ、そう考えるとたまらないほど、じぶんもカムパネルラもあわれなような気がするのでした。
先生はまた云いました。","Not only that, but as soon as he read the magazine, he brought out a huge book from his father's study, opened it up, and together they looked at the beautiful pictures with white dots all over the black pages for a long time.
The reason why I did not reply to her right away, even though I knew that she would never forget it, was because I had been having a hard time at work both in the morning and in the afternoon, and even when I went to school, I did not play with everyone and did not talk much with her anymore. I felt so sorry for myself and for her.
The doctor said again.",0.08,0.23,0.0,0.31,0.38
「ですからもしもこの天の川がほんとうに川だと考えるなら、その一つ一つの小さな星はみんなその川のそこの砂や砂利の粒にもあたるわけです。またこれを巨きな乳の流れと考えるならもっと天の川とよく似ています。つまりその星はみな、乳のなかにまるで細かにうかんでいる脂油の球にもあたるのです。そんなら何がその川の水にあたるかと云いますと、それは真空という光をある速さで伝えるもので、太陽や地球もやっぱりそのなかに浮んでいるのです。つまりは私どもも天の川の水のなかに棲んでいるわけです。そしてその天の川の水のなかから四方を見ると、ちょうど水が深いほど青く見えるように、天の川の底の深く遠いところほど星がたくさん集って見えしたがって白くぼんやり見えるのです。この模型をごらんなさい。」,"Therefore, if we consider the Milky Way to be a real river, then every little star in the Milky Way is like a grain of sand or gravel in that river. If you think of it as a huge stream of milk, it is more like the Milky Way. In other words, the stars are all like the fine globules of fat and oil in the milk. What is like the water in the Milky Way, then, is a vacuum that transmits light at a certain speed, in which the sun and the earth also float. In other words, we are living in the waters of the Milky Way. Just as the deeper the water, the bluer it appears, so the deeper and farther away the Milky Way is, the more stars are concentrated at the bottom of the Milky Way, and therefore the whiter and dimmer it appears. Look at this model.""",0.08,0.23,0.08,0.54,0.08
先生は中にたくさん光る砂のつぶの入った大きな両面の凸レンズを指しました。,The teacher pointed to a large double-sided convex lens with many glowing sand squares inside.,0.0,0.25,0.25,0.0,0.5
「天の川の形はちょうどこんななのです。このいちいちの光るつぶがみんな私どもの太陽と同じようにじぶんで光っている星だと考えます。私どもの太陽がこのほぼ中ごろにあって地球がそのすぐ近くにあるとします。みなさんは夜にこのまん中に立ってこのレンズの中を見まわすとしてごらんなさい。こっちの方はレンズが薄いのでわずかの光る粒即ち星しか見えないのでしょう。こっちやこっちの方はガラスが厚いので、光る粒即ち星がたくさん見えその遠いのはぼうっと白く見えるというこれがつまり今日の銀河の説なのです。そんならこのレンズの大きさがどれ位あるかまたその中のさまざまの星についてはもう時間ですからこの次の理科の時間にお話します。では今日はその銀河のお祭なのですからみなさんは外へでてよくそらをごらんなさい。ではここまでです。本やノートをおしまいなさい。」,"The Milky Way looks just like this. Let us assume that each of these shining stars is a star that shines by itself, just like our sun. Suppose our sun is about in the middle of the Milky Way and the earth is very close to it. You stand in the middle of this lens at night and look around. This side of the lens is so thin that you can only see a few glowing particles, i.e., stars. This is today's theory of galaxies. I will tell you how big this lens is and how many stars are in it in the next science class, because it is already time to go. So, since today is the festival of the galaxy, please go outside and take a good look at the sky. That's all for now. Put your books and notebooks away.""",0.08,0.17,0.17,0.08,0.5
