『走れメロス』太宰治,En_text,Happy,Angry,Surprise,Sad,Fear
"メロスは激怒した。
必ず、かの邪智暴虐の王を除かなければならぬと決意した。
メロスには政治がわからぬ。","Melos was furious.
He was determined that he must get rid of the evil, wicked, and tyrannical king.
Melos did not understand politics.",0.0,0.25,0.0,0.5,0.25
"メロスは、村の牧人である。
笛を吹き、羊と遊んで暮して来た。
けれども邪悪に対しては、人一倍に敏感であった。","Melos is the village herdsman.
He played the flute and played with the sheep.
But he was more sensitive to evil than most.",0.0,0.0,0.0,0.0,1.0
"きょう未明メロスは村を出発し、野を越え山越え、十里はなれた此のシラクスの市にやって来た。
メロスには父も、母も無い。
女房も無い。","At dawn today, Melos left his village, crossed fields and mountains, and came to the city of Syrax, ten miles away.
He has no father, no mother, no wife.
He has no wife.",0.0,0.67,0.0,0.0,0.33
"十六の、内気な妹と二人暮しだ。
この妹は、村の或る律気な一牧人を、近々、花婿として迎える事になっていた。
結婚式も間近かなのである。","She lives with her shy 16-year-old sister.
She is about to be married to a pastor in the village, who is very disciplined.
The wedding is coming soon.",0.0,0.0,1.0,0.0,0.0
"メロスは、それゆえ、花嫁の衣裳やら祝宴の御馳走やらを買いに、はるばる市にやって来たのだ。
先ず、その品々を買い集め、それから都の大路をぶらぶら歩いた。
メロスには竹馬の友があった。","Melos, therefore, came all the way to the market to buy bridal gowns and feasts.
First, he gathered up the goods, and then wandered the city's main streets.
Melos had a friend on stilts.",0.5,0.0,0.0,0.25,0.25
"セリヌンティウスである。
今は此のシラクスの市で、石工をしている。
その友を、これから訪ねてみるつもりなのだ。","He is Selinuntius.
He is a mason in the city of Syracuse.
I am going to visit him now.",0,0,0,0,0
"久しく逢わなかったのだから、訪ねて行くのが楽しみである。
歩いているうちにメロスは、まちの様子を怪しく思った。
ひっそりしている。","Since he had not seen her for a long time, he was looking forward to visiting her.
As he walked, Melos became suspicious of the town.
It was deserted.",0.0,0.0,0.0,0.33,0.67
"もう既に日も落ちて、まちの暗いのは当りまえだが、けれども、なんだか、夜のせいばかりでは無く、市全体が、やけに寂しい。
のんきなメロスも、だんだん不安になって来た。
路で逢った若い衆をつかまえて、何かあったのか、二年まえに此の市に来たときは、夜でも皆が歌をうたって、まちは賑やかであった筈だが、と質問した。","The sun had already set and the town was dark, but it was not only because of the night.
Even the carefree Meros began to feel uneasy.
He grabbed a young man he met on the street and asked him what was wrong.",0.14,0.0,0.0,0.43,0.43
"若い衆は、首を振って答えなかった。
しばらく歩いて老爺に逢い、こんどはもっと、語勢を強くして質問した。
老爺は答えなかった。","The young man shook his head and did not answer.
After walking for a while, he met the old man and asked him a question, this time in a more forceful tone.
The old man did not answer.",0.0,0.0,0.0,0.0,1.0
"メロスは両手で老爺のからだをゆすぶって質問を重ねた。
老爺は、あたりをはばかる低声で、わずか答えた。","Melos shook the old man's body with both hands and repeated the question.
The old man answered in a low, hushed voice.",0.0,0.0,0.0,0.5,0.5
