『三四郎』夏目漱石,En_text,Happy,Angry,Surprise,Sad,Fear
"うとうととして目がさめると女はいつのまにか、隣のじいさんと話を始めている。
このじいさんはたしかに前の前の駅から乗ったいなか者である。
発車まぎわに頓狂な声を出して駆け込んで来て、いきなり肌をぬいだと思ったら背中にお灸のあとがいっぱいあったので、三四郎の記憶に残っている。
じいさんが汗をふいて、肌を入れて、女の隣に腰をかけたまでよく注意して見ていたくらいである。
女とは京都からの相乗りである。","When she woke up from a doze, she found herself talking with the old man next to her.
The old man was indeed a rickshaw rider who had boarded the train from the station in front of her.
He came running in with a crazy voice just as the train was about to depart, and when he suddenly took off his skin, Sanshiro remembered that his back was covered with the marks of moxibustion.
He had to watch carefully until his grandfather wiped off his sweat, put his skin back on, and sat down next to the woman.
He and the woman were sharing a ride from Kyoto.",0.0,0.0,0.17,0.17,0.67
"乗った時から三四郎の目についた。
第一色が黒い。
三四郎は九州から山陽線に移って、だんだん京大阪へ近づいて来るうちに、女の色が次第に白くなるのでいつのまにか故郷を遠のくような哀れを感じていた。
それでこの女が車室にはいって来た時は、なんとなく異性の味方を得た心持ちがした。
この女の色はじっさい九州色であった。","From the moment he got in the car, Sanshiro's eyes caught his attention.
Her first color was black.
As Sanshiro moved from Kyushu to the Sanyo Line and gradually approached Kyoto-Osaka, the woman's color gradually became whiter, and he felt a sense of sorrow as if he were leaving his hometown behind.
When this woman came into the car, I felt as if I had found an ally of the opposite sex.
The color of this woman was in fact the color of Kyushu.",0.0,0.0,0.0,0.78,0.22
"三輪田のお光さんと同じ色である。
国を立つまぎわまでは、お光さんは、うるさい女であった。
そばを離れるのが大いにありがたかった。
けれども、こうしてみると、お光さんのようなのもけっして悪くはない。
ただ顔だちからいうと、この女のほうがよほど上等である。","She is the same color as Omitsu-san of Miwada.
Until just before she left Japan, Omitsu-san was a noisy woman.
She was very grateful to be away from my side.
However, when I look at it this way, I realize that being like her is not so bad at all.
But in terms of face, this woman is much better.",0.33,0.33,0.0,0.33,0.0
"口に締まりがある。
目がはっきりしている。
額がお光さんのようにだだっ広くない。
なんとなくいい心持ちにできあがっている。
それで三四郎は五分に一度ぐらいは目を上げて女の方を見ていた。","Tight mouth.
Clear eyes.
The forehead is not as broad as Hikaru's.
He had a good feeling about her.
So Sanshiro raised his eyes and looked at the woman about once every five minutes.",0.0,0.0,0.0,0.67,0.33
"時々は女と自分の目がゆきあたることもあった。
じいさんが女の隣へ腰をかけた時などは、もっとも注意して、できるだけ長いあいだ、女の様子を見ていた。
その時女はにこりと笑って、さあおかけと言ってじいさんに席を譲っていた。
それからしばらくして、三四郎は眠くなって寝てしまったのである。
その寝ているあいだに女とじいさんは懇意になって話を始めたものとみえる。","Sometimes his eyes would meet with the woman's. When he sat down next to the woman, he would watch her for as long as possible.
When my grandfather sat down next to the woman, he would watch her for as long as possible, paying the most attention to her.
At that time, the woman smiled, said, ""Take a seat,"" and gave up her seat to Grandpa.
After a while, Sanshiro became sleepy and fell asleep.
While he was sleeping, the woman and his grandfather must have gotten to know each other and started talking.",0.12,0.25,0.25,0.0,0.38
"目をあけた三四郎は黙って二人の話を聞いていた。
女はこんなことを言う。
――
子供の玩具はやっぱり広島より京都のほうが安くっていいものがある。
京都でちょっと用があって降りたついでに、蛸薬師のそばで玩具を買って来た。","Sanshiro opened his eyes and listened to them in silence.
The woman said this.
--I'll tell you what I think.
I knew I could find better and cheaper children's toys in Kyoto than in Hiroshima.
I had to run some errands in Kyoto, so I bought some toys by Takoyakushi.",0.0,0.0,0.5,0.0,0.5
"久しぶりで国へ帰って子供に会うのはうれしい。
しかし夫の仕送りがとぎれて、しかたなしに親の里へ帰るのだから心配だ。
夫は呉にいて長らく海軍の職工をしていたが戦争中は旅順の方に行っていた。
戦争が済んでからいったん帰って来た。
まもなくあっちのほうが金がもうかるといって、また大連へ出かせぎに行った。","She is happy to return to her country and see her children after a long absence.
However, she is worried because her husband's remittances have been cut off and she has no choice but to return to her parents' hometown.
My husband had been working as a naval engineer in Kure for a long time, but during the war he went to Lushun.
After the war, he came back.
Soon after, he went back to Dalian to work as a laborer, saying that he could make more money there.",0.1,0.1,0.0,0.2,0.6
"はじめのうちは音信もあり、月々のものもちゃんちゃんと送ってきたからよかったが、この半年ばかり前から手紙も金もまるで来なくなってしまった。
不実な性質ではないから、大丈夫だけれども、いつまでも遊んで食べているわけにはゆかないので、安否のわかるまではしかたがないから、里へ帰って待っているつもりだ。
じいさんは蛸薬師も知らず、玩具にも興味がないとみえて、はじめのうちはただはいはいと返事だけしていたが、旅順以後急に同情を催して、それは大いに気の毒だと言いだした。
自分の子も戦争中兵隊にとられて、とうとうあっちで死んでしまった。
いったい戦争はなんのためにするものだかわからない。","In the beginning, I was happy to hear from him and he sent me monthly bills, but for the past six months or so, he has not sent me any letters or money.
But for the past six months or so, I have not received any letters or money. I am not unfaithful, so I am fine, but I can't keep playing and eating.
Grandpa had never heard of an octopus medicine man, nor did he seem to be interested in toys, so at first he simply replied, ""Yes, yes, yes.
His own son was taken by the soldiers during the war and finally died over there.
I don't know what the war is all about.",0.27,0.0,0.09,0.27,0.36
"あとで景気でもよくなればだが、大事な子は殺される、物価は高くなる。
こんなばかげたものはない。
世のいい時分に出かせぎなどというものはなかった。
みんな戦争のおかげだ。
なにしろ信心が大切だ。","If the economy improves later, but your precious children will be killed and prices will go up.
This is absurd.
In the good old days, there was no such thing as a job.
It was all thanks to the war.
Faith is the most important thing.",0.29,0.14,0.29,0.0,0.29
"生きて働いているに違いない。
もう少し待っていればきっと帰って来る。
――じいさんはこんな事を言って、しきりに女を慰めていた。
やがて汽車がとまったら、ではお大事にと、女に挨拶をして元気よく出て行った。
じいさんに続いて降りた者が四人ほどあったが、入れ代って、乗ったのはたった一人しかない。","He must be alive and working.
If we wait a little longer, I am sure he will come back.
--The old man said this and consoled the woman.
When the train stopped, he wished the woman good luck and went out cheerfully.
There were about four people who got off the train after the old man, but only one person got on the train instead of him.",0.5,0.0,0.17,0.0,0.33
